_seg_id,x,y,protein_0,protein_1,protein_2,protein_3,protein_4,protein_5,protein_6,protein_7,protein_8,protein_9,protein_10,protein_11,protein_12,protein_13,protein_14,protein_15,protein_16,protein_17,cell_type,region_type,cell_type_id,region_type_id,neighbor_label
135942,384.2238799999996,1657.034826,3.974763407,405.362776,0.069400631,0.264984227,100.2555205,222.6498423,0.0,1.176656151,248.3217666,0.0,7.441640379,204.7003155,0.0,0.009463722,0.012618297,0.305993691,134.5394322,232.1451104,immune,core,0,0,0
135943,1165.371569999999,1661.8206790000004,8.409666283,23.68469505,4.103567319,4.003452244,83.28193326,279.0023015,0.0,0.051783659,192.5408516,45.11047181,24.68009206,101.9873418,1.449942463,1.706559264,0.0,0.0,238.2796318,278.4844649,immune,core,0,0,0
135944,2021.27419,1658.736559,6.608286252,58.03578154,2.13747646,1.241054614,4.870056497,357.9246704,0.0,2.178907721,264.8022599,0.003766478,68.3220339,84.75517891,39.89642185,5.508474576,0.145009416,0.071563089,283.2787194,27.086629,immune,core,0,0,0
135973,92.60714000000009,1656.6285710000002,6.248826291,27.39906103,7.241784038,3.720657277,144.3169014,234.685446,0.0,1.091549296,297.4342723,0.079812207,51.15492958,203.713615,4.284037559,0.685446009,7.575117371,7.720657277,62.04225352,83.39201878,immune,core,0,0,0
135974,276.14595999999983,1660.726708,4.380530973,83.73274336,4.911504425,2.111504425,3.76460177,425.8070796,0.0,0.603539823,341.7362832,0.123893805,2.860176991,243.2460177,0.0,0.012389381,0.0,0.0,103.6654867,271.7168142,immune,core,0,0,0
135975,557.1391299999996,1657.8260870000004,28.54403131,12.35420744,4.614481409,2.964774951,8.023483366,409.2935421,0.0,0.510763209,244.7866928,11.44031311,11.07827789,136.0234834,0.007827789,0.215264188,0.017612524,0.168297456,284.0195695,16.63992172,immune,core,0,0,0
135976,1299.2754100000002,1658.4786889999996,5.521904762,42.02857143,4.531428571,2.48952381,2.272380952,229.12,0.0,0.615238095,183.8704762,2.251428571,26.6,88.02666667,0.024761905,582.8361905,1.761904762,0.660952381,34.58095238,222.7142857,immune,core,0,0,0
136008,643.0260899999994,1661.353623,5.909756098,15.78292683,5.319512195,4.173170732,3.365853659,274.9560976,0.0,2.607317073,216.2463415,0.0,151.7073171,83.46585366,0.009756098,0.273170732,6.687804878,13.00487805,64.0,27.89268293,immune,core,0,0,0
136009,1196.0942400000004,1658.680628,5.122015915,161.9442971,0.456233422,0.265251989,4.907161804,388.9071618,0.0,0.281167109,220.3952255,41.85676393,6.310344828,111.198939,54.74801061,5.450928382,0.0,0.0,288.9363395,208.3633952,immune,core,0,0,0
136010,1282.603660000001,1657.8841460000003,7.311740891,20.55870445,5.004048583,4.251012146,3.052631579,263.7004049,0.0,0.141700405,236.5708502,1.473684211,84.44129555,210.3117409,0.0,6.659919028,3.668016194,1.688259109,71.14979757,106.9271255,immune,core,0,0,0
136042,180.4958200000001,1663.1727019999998,5.28125,203.6428571,1.086309524,0.461309524,3.266369048,291.2529762,0.0,0.324404762,176.3422619,31.60863095,34.80505952,109.5654762,0.172619048,13.34672619,0.0,0.0,333.8497024,357.1994048,immune,core,0,0,0
